#,Name,Difficult,Priority,Status,Tags,link,source,practicedTimes
77,Combinations,Medium,Low,,BackTracking,https://leetcode.com/problems/combinations/,"LC_Top_Interview_150, leetcode_daily",
201,Bitwise AND of Numbers Range,Medium,Low,,Bit Manipulation,https://leetcode.com/problems/bitwise-and-of-numbers-range/,LC_Top_Interview_150,
190,Reverse Bits,Easy,Low,More Solution,"Bit Manipulation, Divide and Conquer",https://leetcode.com/problems/reverse-bits/,"HuaHua, LC_Top_Interview_150",
15,3Sum,Medium,Pass,,"2pt, 2pt_DiffDir, Hash",https://leetcode.com/problems/3sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初TwoPointers",1
63,Unique Paths II,Medium,Pass,,"DP, Matrix",https://leetcode.com/problems/unique-paths-ii/,"HuaHua, LC_Top_Interview_150",1
3,Longest Substring Without Repeating Characters,Medium,Medium,,"2pt_SameDir_maxWin_chkValidBfrR, Hash, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ",1
4,Median of Two Sorted Arrays,Hard,High,,"BS_Idx, kth",https://leetcode.com/problems/median-of-two-sorted-arrays/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array, 算初Tree Divide&Conquer",1
82,Remove Duplicates from Sorted List II,Medium,Medium,More Solution,"2pt, Hash, LinkedList",https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,LC_Top_Interview_150,
2,Add Two Numbers,Medium,Low,,"LinkedList, Math, simulation",https://leetcode.com/problems/add-two-numbers/,"HuaHua, LC_Top_Interview_150",
383,Ransom Note,Easy,Pass,,"Hash, string",https://leetcode.com/problems/ransom-note/,LC_Top_Interview_150,
205,Isomorphic Strings,Easy,Low,,"Hash, string",https://leetcode.com/problems/isomorphic-strings/,"LC_Top_Interview_150, googleFreq",
20,Valid Parentheses,Easy,Pass,,stack,https://leetcode.com/problems/valid-parentheses/,"LC_Top_Interview_150, googleFreq",1
12,Integer to Roman,Medium,Pass,,"Hash, string",https://leetcode.com/problems/integer-to-roman/,"LC_Top_Interview_150, googleFreq",1
13,Roman to Integer,Easy,Pass,,"Hash, Math, string",https://leetcode.com/problems/roman-to-integer/,"HuaHua, LC_Top_Interview_150, googleFreq",1
17,Letter Combinations of a Phone Number,Medium,Low,,"BackTracking, search",https://leetcode.com/problems/letter-combinations-of-a-phone-number/,"HuaHua, LC_75, LC_Top_Interview_150, googleFreq, leetcode_daily",
19,Remove Nth Node From End of List,Medium,Pass,,"2pt_SameDir_sameSpeed, LinkedList",https://leetcode.com/problems/remove-nth-node-from-end-of-list/,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ",1
155,Min Stack,Medium,Pass,,stack,https://leetcode.com/problems/min-stack/,"LC_Top_Interview_150, jiuzhang, 算高Heap&Stack",1
224,Basic Calculator,Hard,High,"Dig More, More Solution","Math, stack, string",https://leetcode.com/problems/basic-calculator/,LC_Top_Interview_150,
150,Evaluate Reverse Polish Notation,Medium,Pass,,"simulation, stack",https://leetcode.com/problems/evaluate-reverse-polish-notation/,"HuaHua, LC_Top_Interview_150",
71,Simplify Path,Medium,Low,,"stack, string",https://leetcode.com/problems/simplify-path/,LC_Top_Interview_150,
21,Merge Two Sorted Lists,Easy,Pass,,"LinkedList, mergeList",https://leetcode.com/problems/merge-two-sorted-lists,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
23,Merge k Sorted Lists,Hard,Medium,,"Divide and Conquer, LinkedList, MergeSort, PQ",https://leetcode.com/problems/merge-k-sorted-lists/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer",1
25,Reverse Nodes in k-Group,Hard,Low,,"LinkedList, reversePartial",https://leetcode.com/problems/reverse-nodes-in-k-group/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
